Product URL,ACABAMENTO PINTURA,Brilho,COMPONENTE TINTA,CONTEUDO EMBALAGEM,COR COMERCIAL TINTA,COR TINTA,Classe Térmica,Cor,Cura,EMBALAGEM,Escala de cor,FUNCAO TINTA,Família,Função,LINHA PRODUTOS TINTAS,SISTEMA RESINA,SOLIDOS VOLUME,VERSAO TINTA
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluentes-Auxiliares-Repintura/DILUENTE-WEG-CLEAN-30/p/13291472,,,,,,,,,,Tambor,,,,,Universal,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Solvente-Especial/DILUENTE-ANTIINCRUSTANTE/p/10001388,,,,,,,,,,Lata Redonda,,,,,Alquídico,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Solvente-Especial/DILUENTE-ANTIINCRUSTANTE/p/10001389,,,,,,,,,,Lata Retangular,,,,,Alquídico,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Solvente-Limpeza/DILUENTE-WEG-CLEAN/p/11119368,,,,,,,,,,Lata Retangular,,,,,Universal,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Solvente-Limpeza/DILUENTE-WEG-CLEAN/p/11261754,,,,,,,,,,Lata Quadrada,,,,,Universal,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Solvente-Limpeza/DILUENTE-WEG-CLEAN/p/11413784,,,,,,,,,,Lata Redonda,,,,,Universal,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Solvente-Limpeza/DILUENTE-WEG-CLEAN/p/11604577,,,,,,,,,,Tambor,,,,,Universal,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Solvente-Limpeza/DILUENTE-WEG-CLEAN/p/12066873,,,,,,,,,,Bombona Plástica,,,,,Universal,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Solvente-Limpeza/SOLU%C3%87%C3%83O-DESENGRAXANTE/p/15909402,,,,,,,,,,Lata Redonda,,,,,Universal,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Repintura-Automotiva-e-Frota/Linha-Complementos/ADESIVO-DE-LAMINA%C3%87%C3%83O-ST/p/15555030,Liso,Fosco,,,,,,,,Lata Redonda,0,Massa,,,Repintura Automotiva,Poliéster,NAO RELEVANTE,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Repintura-Automotiva-e-Frota/Linha-Complementos/ADESIVO-PLASTICO-LIGHT-ST/p/15555028,Liso,Fosco,,,,,,,,Lata,0,Massa,,,Repintura Automotiva,Poliéster,NAO RELEVANTE,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Repintura-Automotiva-e-Frota/Linha-Complementos/ADESIVO-PLASTICO-ST/p/15554927,Liso,Fosco,,,,,,,,Lata,0,Massa,,,Repintura Automotiva,Poliéster,NAO RELEVANTE,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Repintura-Automotiva-e-Frota/Linha-Complementos/ALASTRADOR-DE-RETOQUE-ST/p/12260614,Liso,Brilhante,,,,Incolor,,,,Lata Redonda,0,Acabamento,,,Poliuretano,Acrílica,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Repintura-Automotiva-e-Frota/Linha-Complementos/FOSQUEANTE-UNIVERSAL-ST/p/12253902,,,,,,,,,,Lata Redonda,0,Intermediária,,,Repintura Automotiva,Acrílica,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Repintura-Automotiva-e-Frota/Linha-Complementos/MASSA-DE-PEQUENOS-REPAROS-ST/p/15090552,Liso,Fosco,,,,Cinza,,,,Bisnaga,0,Massa,,,Repintura Automotiva,Maleica/Nitrocelulose,NAO RELEVANTE,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Repintura-Automotiva-e-Frota/Linha-Complementos/MASSA-DE-POLIR-HT/p/12270856,Especial,Fosco,,,Branco,Branco,,,,Pote,0,Massa,,,Repintura Automotiva,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Repintura-Automotiva-e-Frota/Linha-Complementos/MASSA-POLI%C3%89STER-W4000/p/12750915,Liso,Fosco,,,,,,,,Lata,0,Acabamento,,,Repintura Automotiva,Poliéster,90 ± 2% (ISO 3233 - 1998),
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Repintura-Automotiva-e-Frota/Linha-Complementos/MASSA-POLIESTER-LIGHT-ST/p/12808829,Liso,Fosco,,,,,,,,Lata,0,Acabamento,,,Repintura Automotiva,Poliéster,NAO RELEVANTE,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Repintura-Automotiva-e-Frota/Linha-Complementos/Manta-de-Fibra-ST/p/15710670,Liso,,,,,,,,,SACO 250g,0,VEDACAO,,,Repintura Automotiva,-,SEM SOLVENTE,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Repintura-Automotiva-e-Frota/Linha-Complementos/PRETO-FOSCO-VINILICO-ST/p/12260702,Liso,Fosco,,,,Preto,,,,Lata Redonda,0,Acabamento,,,Repintura Automotiva,Vinílica,NAO RELEVANTE,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Repintura-Automotiva-e-Frota/Linha-Complementos/PRETO-FOSCO-VINILICO-ST/p/12261828,Liso,Brilhante,,,Preto Fosco,Preto,,,,Galão Metálico,0,Dupla Função,,,Repintura Automotiva,Vinílica,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Repintura-Automotiva-e-Frota/Linha-Complementos/PRETO-FOSCO-VINILICO-ST/p/15636968,,,,,,,,,,Bombona Plástica,,,,,Catalisador,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Repintura-Automotiva-e-Frota/Linha-Complementos/PRETO-FOSCO-VINILICO-ST/p/15636971,,,,,,,,,,Bombona Plástica,,,,,Catalisador,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Repintura-Automotiva-e-Frota/Linha-Complementos/PRIMER-UNIVERSAL-ST/p/12258733,Liso,Fosco,,,Cinza,Cinza,,,,Galão Metálico,0,Primer,,,Repintura Automotiva,Alquídica Modificada,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Repintura-Automotiva-e-Frota/Linha-Complementos/PRIMER-UNIVERSAL-ST/p/12258734,Liso,Fosco,,,Cinza,Cinza,,,,Lata Redonda,0,Primer,,,Repintura Automotiva,Alquídica Modificada,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Repintura-Automotiva-e-Frota/Linha-Complementos/PRIMER-UNIVERSAL-ST/p/12275752,,,,,Branco,Branco,,,,Galão Metálico,0,Primer,,,Repintura Automotiva,Alquídica Modificada,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Repintura-Automotiva-e-Frota/Linha-Complementos/PRIMER-UNIVERSAL-ST/p/12275753,,,,,Branco,Branco,,,,Lata Redonda,0,Primer,,,Repintura Automotiva,Alquídica Modificada,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Repintura-Automotiva-e-Frota/Linha-Complementos/REMOVEDOR-PASTOSO-ST/p/12259261,Especial,Brilhante,,,,,,,,Lata Redonda,0,,,,Removedor,,,
